period,player_id,bet_count,turnover,avg_bet,std_bet,min_bet,max_bet,theo,casino_win,worth_raw,chase_count,chase_rate,post_loss_stop_rate,side_bet_count,side_handle,ceiling_pressure_rate,side_bet_rate,side_handle_pct,bet_spread_ratio,num_sessions,latest_session_id,active_days,hours_played,avg_session_hours,max_session_hours,total_session_turnover,total_session_theo,total_player_win,cash_buy_in,avg_buyin,max_session_loss,avg_session_loss,max_session_win,last_gaming_day,session_continuation_rate,loss_exit_rate,credit_line,primary_game,primary_game_pct,baccarat_engagement_pct,blackjack_engagement_pct,game_concentration_pct,eligible,worth_score,frequency_score,deal_hold_raw,deal_hold_score,volatility_score_behavior,adt_proxy,range_width_score,ceiling_pressure_score,stretch_ratio,stretch_capacity_score,rhythm_score,session_fade_score,post_loss_response_score,game_affinity_score,table_fit_score,hidden_opportunity_score,confidence_need_score,primary_behavior,side_bet_intensity,risk_volatility_label,engagement_label,cohort_label
Total,1028728,65,22825.0,351.15384615384613,282.3586056976809,5.0,1500.0,288.34,5000.0,4175.48261439573,18,0.27692307692307694,0.046153846153846156,19,325.0,0.015384615384615385,0.2923076923076923,1.4238773274917853,4.257393209200439,3.0,4453430,1.0,1.1022222222222222,0.3674074074074074,0.49027777777777776,22825.0,288.34,-5000.0,10000.0,3333.3333333333335,2025.0,1666.6666666666667,0.0,2025-08-01,3.0,0.0887185104052574,10000.0,BACCARAT,100.0,100.0,0.0,100.0,True,25.0,75.0,0.09520280394304491,100.0,56.25,288.34,50.0,50.0,4.271631982475356,50.0,78.75,90.0,80.0,72.78477546549836,72.5,60.0625,64.5,Chases Losses,Medium,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Total,173826,137,444775.0,3246.5328467153286,1862.1111479237713,5.0,8000.0,4673.76,34080.0,73714.543863756,35,0.25547445255474455,0.021897810218978103,17,3000.0,0.029197080291970802,0.12408759124087591,0.674498341858243,2.4626271710415377,1.0,4551482,1.0,2.729722222222222,2.729722222222222,2.729722222222222,376775.0,4673.76,-7080.0,0.0,0.0,7080.0,7080.0,0.0,2025-08-01,1.0,0.018791055669829474,0.0,BACCARAT,100.0,100.0,0.0,100.0,True,100.0,75.0,0.036954091394525324,75.0,65.0,4673.76,25.0,100.0,2.464167275588781,40.0,70.0,65.0,61.75,57.63489966837165,82.5,44.5,45.7625,Chases Losses,Low,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Total,3759253,234,189075.0,808.0128205128206,1486.412856541694,25.0,10000.0,5173.638285459951,-13770.0,29674.22159521425,78,0.3333333333333333,0.0,156,15125.0,0.008547008547008548,0.6666666666666666,7.999471109348143,12.345101150337166,1.0,4453429,1.0,4.0125,4.0125,4.0125,314545.0,8606.86,16590.0,8000.0,8000.0,0.0,0.0,16590.0,2025-08-01,1.0,0.0,8000.0,BACCARAT,100.0,100.0,0.0,100.0,True,50.0,75.0,-0.012713563552685603,25.0,68.75,5173.638285459951,100.0,25.0,12.376041253470845,85.0,76.25,30.0,71.875,81.59989422186963,81.25,67.9375,73.03125,Chases Losses,High,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Total,3759272,174,349030.0,2005.9195402298851,2529.183426075965,5.0,15000.0,0.0,29765.0,60983.33333333333,43,0.2471264367816092,0.0,34,4075.0,0.017241379310344827,0.19540229885057472,1.1675214164971492,7.47537460963241,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,BACCARAT,100.0,100.0,0.0,100.0,True,75.0,25.0,0.03411168094433144,50.0,60.0,0.0,75.0,75.0,7.47786723204309,75.0,25.0,45.0,36.375,65.23350428329942,81.25,57.5,61.70625,Chases Losses,Medium,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Week 1,1028728,65,22825.0,351.15384615384613,282.3586056976809,5.0,1500.0,288.34,5000.0,4175.48261439573,18,0.27692307692307694,0.046153846153846156,19,325.0,0.015384615384615385,0.2923076923076923,1.4238773274917853,4.257393209200439,3.0,4453430,1.0,1.1022222222222222,0.3674074074074074,0.49027777777777776,22825.0,288.34,-5000.0,10000.0,3333.3333333333335,2025.0,1666.6666666666667,0.0,2025-08-01,3.0,0.0887185104052574,10000.0,BACCARAT,100.0,100.0,0.0,100.0,True,25.0,75.0,0.09520280394304491,100.0,56.25,288.34,50.0,50.0,4.271631982475356,50.0,78.75,90.0,80.0,72.78477546549836,72.5,60.0625,64.5,Chases Losses,Medium,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Week 1,173826,137,444775.0,3246.5328467153286,1862.1111479237713,5.0,8000.0,4673.76,34080.0,73714.543863756,35,0.25547445255474455,0.021897810218978103,17,3000.0,0.029197080291970802,0.12408759124087591,0.674498341858243,2.4626271710415377,1.0,4551482,1.0,2.729722222222222,2.729722222222222,2.729722222222222,376775.0,4673.76,-7080.0,0.0,0.0,7080.0,7080.0,0.0,2025-08-01,1.0,0.018791055669829474,0.0,BACCARAT,100.0,100.0,0.0,100.0,True,100.0,75.0,0.036954091394525324,75.0,65.0,4673.76,25.0,100.0,2.464167275588781,40.0,70.0,65.0,61.75,57.63489966837165,82.5,44.5,45.7625,Chases Losses,Low,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Week 1,3759253,234,189075.0,808.0128205128206,1486.412856541694,25.0,10000.0,5173.638285459951,-13770.0,29674.22159521425,78,0.3333333333333333,0.0,156,15125.0,0.008547008547008548,0.6666666666666666,7.999471109348143,12.345101150337166,1.0,4453429,1.0,4.0125,4.0125,4.0125,314545.0,8606.86,16590.0,8000.0,8000.0,0.0,0.0,16590.0,2025-08-01,1.0,0.0,8000.0,BACCARAT,100.0,100.0,0.0,100.0,True,50.0,75.0,-0.012713563552685603,25.0,68.75,5173.638285459951,100.0,25.0,12.376041253470845,85.0,76.25,30.0,71.875,81.59989422186963,81.25,67.9375,73.03125,Chases Losses,High,Medium Risk,Low Engagement,Low Engagement / Chases Losses
Week 1,3759272,174,349030.0,2005.9195402298851,2529.183426075965,5.0,15000.0,0.0,29765.0,60983.33333333333,43,0.2471264367816092,0.0,34,4075.0,0.017241379310344827,0.19540229885057472,1.1675214164971492,7.47537460963241,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,BACCARAT,100.0,100.0,0.0,100.0,True,75.0,25.0,0.03411168094433144,50.0,60.0,0.0,75.0,75.0,7.47786723204309,75.0,25.0,45.0,36.375,65.23350428329942,81.25,57.5,61.70625,Chases Losses,Medium,Medium Risk,Low Engagement,Low Engagement / Chases Losses
